"Sample Counts","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral2","R2 Spiral3","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"1","0.259101","0.261181","0.259101","0.324352","0.303078","0.268660","0.264153","0.260077","0.279969","0.259101","0.271526","0.259378","0.262727"
"2","0.182210","0.196812","0.181225","0.191261","0.181362","0.207851","0.192805","0.189578","0.228576","0.180827","0.176207","0.180149","0.177380"
"4","0.117176","0.178210","0.121103","0.124590","0.122654","0.124010","0.151974","0.136263","0.213804","0.112388","0.134388","0.114530","0.141144"
"8","0.076781","0.157272","0.079506","0.075655","0.077900","0.080648","0.115061","0.094474","0.211580","0.079611","0.094911","0.083922","0.089551"
"16","0.056497","0.151893","0.050392","0.055624","0.054106","0.059240","0.072183","0.065202","0.211166","0.056354","0.057889","0.053097","0.054608"
"32","0.045031","0.149696","0.034261","0.039134","0.036031","0.036576","0.048671","0.047322","0.209132","0.035295","0.038514","0.036435","0.037179"
"64","0.040162","0.147308","0.022439","0.025363","0.025043","0.026012","0.025410","0.037576","0.203553","0.024079","0.026020","0.022597","0.024784"
"128","0.038013","0.143900","0.015149","0.018482","0.015476","0.017352","0.018453","0.027818","0.190657","0.016227","0.016477","0.016802","0.015823"
"256","0.041276","0.145196","0.009373","0.013572","0.010799","0.011452","0.012437","0.014615","0.162968","0.011013","0.010836","0.011187","0.011308"
"512","0.056933","0.102827","0.006574","0.010034","0.007342","0.007934","0.008163","0.011865","0.108175","0.007984","0.008805","0.007780","0.008229"
"1024","0.005272","0.005435","0.004926","0.008509","0.005476","0.005974","0.005924","0.009630","0.005224","0.005395","0.005537","0.005952","0.005741"

